arxiv_id_clean,first_author_prior_papers_true,last_author_prior_papers_true,max_prior_papers_true,max_years_active,first_author_first_year,last_author_first_year,tierB_resolved
2401.12979,0.0,3.0,3.0,4.0,2025.0,2020.0,True
2401.13160,1.0,2.0,2.0,1.0,2023.0,2023.0,True
2401.13303,3.0,413.0,413.0,35.0,2023.0,1989.0,True
2401.13311,5.0,13.0,13.0,4.0,2020.0,2023.0,True
2401.13388,1.0,1.0,1.0,2.0,2022.0,2022.0,True
2401.13601,1.0,1.0,1.0,1.0,2023.0,2023.0,True
2401.13627,0.0,1.0,1.0,1.0,2024.0,2023.0,True
2401.13660,0.0,4.0,4.0,1.0,2024.0,2023.0,True
2401.13795,22.0,17.0,22.0,21.0,2014.0,2003.0,True
2401.13919,14.0,6.0,14.0,3.0,2021.0,2023.0,True
2401.13923,3.0,1.0,3.0,1.0,2023.0,2023.0,True
2401.13974,26.0,3.0,26.0,11.0,2013.0,2023.0,True
2401.14019,6.0,2.0,6.0,3.0,2021.0,2023.0,True
2401.14066,10.0,5.0,10.0,2.0,2022.0,2022.0,True
2401.14112,2.0,4.0,4.0,1.0,2023.0,2023.0,True
2401.14196,33.0,4.0,33.0,6.0,2018.0,2022.0,True
2401.14257,7.0,27.0,27.0,5.0,2019.0,2019.0,True
2401.14367,5.0,50.0,50.0,6.0,2021.0,2018.0,True
2401.14391,10.0,0.0,10.0,3.0,2021.0,2024.0,True
2401.14398,0.0,105.0,105.0,14.0,2024.0,2010.0,True
2401.14403,0.0,3.0,3.0,1.0,2024.0,2023.0,True
2401.14404,0.0,7.0,7.0,7.0,2024.0,2017.0,True
2401.14405,6.0,4.0,6.0,2.0,2022.0,2023.0,True
2401.14673,13.0,155.0,155.0,14.0,2018.0,2010.0,True
2401.14688,5.0,6.0,6.0,1.0,2023.0,2023.0,True
2401.14828,12.0,4.0,12.0,5.0,2019.0,2023.0,True
2401.14953,35.0,49.0,49.0,31.0,2012.0,1993.0,True
2401.15024,16.0,1.0,16.0,4.0,2020.0,2023.0,True
2401.15071,1.0,1.0,1.0,1.0,2023.0,2023.0,True
2401.15077,2.0,0.0,2.0,2.0,2022.0,2024.0,True
2401.15687,0.0,0.0,0.0,0.0,2025.0,2024.0,True
2401.15688,,,,,,,False
2401.15708,1.0,0.0,1.0,1.0,2023.0,2025.0,True
2401.15914,14.0,2.0,14.0,6.0,2018.0,2023.0,True
2401.15947,3.0,3.0,3.0,1.0,2023.0,2023.0,True
2401.15975,5.0,5.0,5.0,2.0,2022.0,2023.0,True
2401.15977,19.0,3.0,19.0,5.0,2019.0,2023.0,True
2401.16013,7.0,13.0,13.0,4.0,2020.0,2020.0,True
2401.16158,2.0,4.0,4.0,1.0,2023.0,2023.0,True
2401.16380,12.0,110.0,110.0,19.0,2019.0,2005.0,True
2401.16420,6.0,3.0,6.0,4.0,2020.0,2023.0,True
2401.16465,2.0,1.0,2.0,2.0,2022.0,2024.0,True
2401.16467,0.0,1.0,1.0,1.0,2024.0,2023.0,True
2401.16468,33.0,378.0,378.0,18.0,2019.0,2006.0,True
2401.16658,29.0,5.0,29.0,4.0,2020.0,2023.0,True
2401.16677,9.0,1.0,9.0,7.0,2017.0,2023.0,True
2401.16818,6.0,2.0,6.0,4.0,2020.0,2020.0,True
2401.16861,12.0,7.0,12.0,4.0,2020.0,2021.0,True
2401.17053,0.0,2.0,2.0,1.0,2024.0,2023.0,True
2401.17093,13.0,20.0,20.0,5.0,2019.0,2021.0,True
2401.17181,0.0,5.0,5.0,14.0,2024.0,2010.0,True
2401.17221,8.0,66.0,66.0,10.0,2023.0,2014.0,True
2401.17256,14.0,3.0,14.0,5.0,2019.0,2023.0,True
2401.17264,1.0,32.0,32.0,10.0,2023.0,2014.0,True
2401.17268,4.0,42.0,42.0,5.0,2022.0,2019.0,True
2401.17270,24.0,15.0,24.0,6.0,2018.0,2023.0,True
2401.17377,14.0,191.0,191.0,17.0,2019.0,2007.0,True
2401.17464,0.0,4.0,4.0,1.0,2024.0,2023.0,True
2401.17509,1.0,0.0,1.0,1.0,2023.0,2025.0,True
2401.17574,0.0,3.0,3.0,19.0,2025.0,2005.0,True
2401.17583,10.0,3.0,10.0,4.0,2020.0,2023.0,True
2401.17807,4.0,5.0,5.0,42.0,1982.0,2023.0,True
2401.17895,0.0,2.0,2.0,1.0,2024.0,2023.0,True
2401.18058,14.0,74.0,74.0,21.0,2021.0,2003.0,True
2401.18059,12.0,1.0,12.0,18.0,2006.0,2023.0,True
2401.18075,4.0,1.0,4.0,2.0,2022.0,2022.0,True
2402.00159,55.0,70.0,70.0,18.0,2006.0,2018.0,True
2402.00351,1.0,313.0,313.0,31.0,2023.0,1993.0,True
2402.00396,18.0,2.0,18.0,9.0,2015.0,2021.0,True
2402.00518,4.0,9.0,9.0,15.0,2023.0,2009.0,True
2402.00742,0.0,3.0,3.0,1.0,2024.0,2023.0,True
2402.00769,5.0,4.0,5.0,3.0,2021.0,2023.0,True
2402.00786,1.0,3.0,3.0,1.0,2023.0,2023.0,True
2402.00838,13.0,8.0,13.0,8.0,2016.0,2021.0,True
2402.00854,8.0,237.0,237.0,30.0,2020.0,1994.0,True
2402.00858,11.0,1.0,11.0,6.0,2018.0,2023.0,True
2402.00867,1.0,149.0,149.0,23.0,2024.0,2001.0,True
2402.00892,2.0,0.0,2.0,1.0,2023.0,2024.0,True
2402.01032,19.0,26.0,26.0,7.0,2018.0,2017.0,True
2402.01093,89.0,52.0,89.0,21.0,2003.0,2013.0,True
2402.01118,2.0,3.0,3.0,1.0,2023.0,2023.0,True
2402.01391,27.0,104.0,104.0,7.0,2020.0,2017.0,True
2402.01521,0.0,10.0,10.0,2.0,2024.0,2022.0,True
2402.01566,8.0,1.0,8.0,5.0,2019.0,2023.0,True
2402.01613,3.0,8.0,8.0,6.0,2021.0,2018.0,True
2402.01622,6.0,71.0,71.0,11.0,2021.0,2013.0,True
2402.01739,17.0,0.0,17.0,3.0,2021.0,2024.0,True
2402.01761,4.0,10.0,10.0,3.0,2023.0,2021.0,True
2402.01771,0.0,57.0,57.0,6.0,2024.0,2018.0,True
2402.01831,1.0,6.0,6.0,3.0,2023.0,2021.0,True
2402.01878,6.0,4.0,6.0,1.0,2023.0,2023.0,True
2402.01935,32.0,1.0,32.0,11.0,2013.0,2023.0,True
2402.02583,19.0,3.0,19.0,4.0,2020.0,2023.0,True
2402.02791,42.0,9.0,42.0,7.0,2017.0,2021.0,True
2402.02834,1.0,5.0,5.0,24.0,2023.0,2000.0,True
2402.03040,7.0,5.0,7.0,2.0,2022.0,2023.0,True
2402.03161,1.0,3.0,3.0,1.0,2023.0,2023.0,True
2402.03162,1.0,0.0,1.0,1.0,2023.0,2024.0,True
2402.03286,6.0,61.0,61.0,17.0,2021.0,2007.0,True
2402.03300,21.0,35.0,35.0,6.0,2019.0,2018.0,True
2402.03310,14.0,1.0,14.0,6.0,2018.0,2024.0,True
2402.03570,0.0,0.0,0.0,,,,True
2402.03620,2.0,2.0,2.0,3.0,2021.0,2023.0,True
2402.03749,37.0,10.0,37.0,7.0,2017.0,2021.0,True
2402.03766,50.0,1.0,50.0,7.0,2017.0,2023.0,True
2402.03908,1.0,0.0,1.0,7.0,2017.0,2025.0,True
2402.03944,1.0,3.0,3.0,21.0,2021.0,2003.0,True
2402.04141,2.0,211.0,211.0,26.0,2013.0,1998.0,True
2402.04177,17.0,26.0,26.0,9.0,2020.0,2015.0,True
2402.04229,0.0,10.0,10.0,33.0,2024.0,1991.0,True
2402.04236,16.0,5.0,16.0,6.0,2018.0,2021.0,True
2402.04248,0.0,97.0,97.0,16.0,2024.0,2008.0,True
2402.04252,2.0,3.0,3.0,1.0,2023.0,2023.0,True
2402.04291,4.0,0.0,4.0,1.0,2023.0,2024.0,True
2402.04324,2.0,4.0,4.0,2.0,2022.0,2023.0,True
2402.04347,3.0,3.0,3.0,3.0,2021.0,2023.0,True
2402.04379,9.0,0.0,9.0,10.0,2014.0,2025.0,True
2402.04494,14.0,40.0,40.0,12.0,2019.0,2012.0,True
2402.04615,1.0,2.0,2.0,6.0,2021.0,2018.0,True
2402.04744,7.0,1.0,7.0,2.0,2022.0,2022.0,True
2402.04792,1.0,2.0,2.0,0.0,2024.0,2024.0,True
2402.04825,9.0,0.0,9.0,21.0,2003.0,2024.0,True
2402.04858,0.0,0.0,0.0,0.0,2025.0,2024.0,True
2402.04925,1.0,94.0,94.0,18.0,2024.0,2006.0,True
2402.05008,0.0,1.0,1.0,5.0,2024.0,2019.0,True
2402.05054,20.0,4.0,20.0,6.0,2018.0,2023.0,True
2402.05099,2.0,76.0,76.0,14.0,2022.0,2010.0,True
2402.05120,0.0,30.0,30.0,5.0,2024.0,2019.0,True
2402.05140,0.0,45.0,45.0,16.0,2024.0,2008.0,True
2402.05195,21.0,54.0,54.0,11.0,2018.0,2013.0,True
2402.05403,34.0,35.0,35.0,6.0,2018.0,2018.0,True
2402.05468,0.0,1.0,1.0,0.0,2025.0,2024.0,True
2402.05472,14.0,11.0,14.0,4.0,2021.0,2020.0,True
2402.05546,77.0,8.0,77.0,25.0,2011.0,1999.0,True
2402.05672,27.0,21.0,27.0,10.0,2014.0,2021.0,True
2402.05755,22.0,41.0,41.0,7.0,2017.0,2021.0,True
2402.05861,0.0,8.0,8.0,4.0,,2020.0,True
2402.05929,7.0,3.0,7.0,6.0,2018.0,2023.0,True
2402.05930,11.0,82.0,82.0,15.0,2019.0,2009.0,True
2402.05932,1.0,13.0,13.0,1.0,2023.0,2023.0,True
2402.05935,64.0,6.0,64.0,6.0,2018.0,2023.0,True
2402.05937,11.0,20.0,20.0,11.0,2013.0,2021.0,True
2402.06071,0.0,0.0,0.0,0.0,2025.0,2024.0,True
2402.06082,25.0,3.0,25.0,18.0,2006.0,2022.0,True
2402.06088,1.0,2.0,2.0,1.0,2023.0,2023.0,True
2402.06102,12.0,165.0,165.0,22.0,2015.0,2002.0,True
2402.06118,13.0,1.0,13.0,6.0,2018.0,2023.0,True
2402.06147,5.0,0.0,5.0,3.0,2021.0,2024.0,True
2402.06149,1.0,0.0,1.0,1.0,2023.0,2024.0,True
2402.06155,22.0,6.0,22.0,8.0,2016.0,2022.0,True
2402.06178,14.0,3.0,14.0,5.0,2020.0,2019.0,True
2402.06187,23.0,12.0,23.0,4.0,2021.0,2020.0,True
2402.06332,0.0,4.0,4.0,1.0,2024.0,2023.0,True
2402.06619,0.0,3.0,3.0,1.0,2024.0,2023.0,True
2402.06852,0.0,0.0,0.0,0.0,2024.0,2024.0,True
2402.06859,2.0,0.0,2.0,12.0,2012.0,2024.0,True
2402.07033,3.0,66.0,66.0,13.0,2022.0,2011.0,True
2402.07043,62.0,4.0,62.0,11.0,2013.0,2023.0,True
2402.07207,3.0,4.0,4.0,32.0,1992.0,2022.0,True
2402.07319,23.0,7.0,23.0,4.0,2020.0,2021.0,True
2402.07383,84.0,0.0,84.0,20.0,2004.0,2024.0,True
2402.07456,27.0,3.0,27.0,7.0,2017.0,2023.0,True
2402.07610,2.0,7.0,7.0,2.0,2023.0,2022.0,True
2402.07625,3.0,2.0,3.0,2.0,2022.0,2023.0,True
2402.07827,23.0,4.0,23.0,11.0,2013.0,2023.0,True
2402.07865,24.0,156.0,156.0,14.0,2017.0,2010.0,True
2402.07871,2.0,7.0,7.0,7.0,2023.0,2017.0,True
2402.07872,10.0,29.0,29.0,8.0,2016.0,2020.0,True
2402.07876,0.0,57.0,57.0,40.0,2025.0,1984.0,True
2402.07896,13.0,45.0,45.0,9.0,2017.0,2015.0,True
2402.07939,7.0,2.0,7.0,1.0,2023.0,2024.0,True
2402.08017,12.0,0.0,12.0,3.0,2021.0,2024.0,True
2402.08093,8.0,132.0,132.0,17.0,2019.0,2007.0,True
2402.08268,5.0,8.0,8.0,3.0,2022.0,2021.0,True
2402.08303,25.0,50.0,50.0,6.0,2019.0,2018.0,True
2402.08420,6.0,52.0,52.0,12.0,2022.0,2012.0,True
2402.08609,6.0,3.0,6.0,4.0,2020.0,2021.0,True
2402.08622,12.0,3.0,12.0,14.0,2010.0,2022.0,True
2402.08644,0.0,96.0,96.0,14.0,2025.0,2010.0,True
2402.08654,9.0,53.0,53.0,14.0,2021.0,2010.0,True
2402.08678,13.0,8.0,13.0,6.0,2018.0,2022.0,True
2402.08682,6.0,0.0,6.0,3.0,2021.0,2024.0,True
2402.08714,1.0,5.0,5.0,1.0,2024.0,2023.0,True
2402.08797,21.0,5.0,21.0,13.0,2011.0,2019.0,True
2402.08855,3.0,61.0,61.0,32.0,2023.0,1992.0,True
2402.08939,8.0,10.0,10.0,4.0,2020.0,2020.0,True
2402.08958,0.0,2.0,2.0,6.0,2024.0,2018.0,True
2402.09052,11.0,8.0,11.0,9.0,2015.0,2023.0,True
2402.09126,8.0,53.0,53.0,11.0,2022.0,2013.0,True
2402.09368,0.0,5.0,5.0,1.0,2024.0,2023.0,True
2402.09371,7.0,10.0,10.0,4.0,2020.0,2020.0,True
2402.09470,10.0,1.0,10.0,5.0,2019.0,2022.0,True
2402.09668,14.0,23.0,23.0,6.0,2018.0,2018.0,True
2402.09727,1.0,0.0,1.0,4.0,2020.0,2025.0,True
2402.09812,7.0,2.0,7.0,3.0,2021.0,2023.0,True
2402.09906,28.0,26.0,28.0,4.0,2020.0,2020.0,True
2402.10009,2.0,121.0,121.0,17.0,2023.0,2007.0,True
2402.10128,22.0,4.0,22.0,102.0,1922.0,2017.0,True
2402.10171,1.0,1.0,1.0,1.0,2023.0,2023.0,True
2402.10176,27.0,12.0,27.0,9.0,2015.0,2017.0,True
2402.10193,0.0,1.0,1.0,0.0,2024.0,2024.0,True
2402.10200,19.0,12.0,19.0,4.0,2022.0,2020.0,True
2402.10210,2.0,9.0,9.0,2.0,2023.0,2022.0,True
2402.10211,8.0,66.0,66.0,10.0,2018.0,2014.0,True
2402.10259,9.0,9.0,9.0,2.0,2022.0,2022.0,True
2402.10294,2.0,2.0,2.0,1.0,2023.0,2023.0,True
2402.10329,1.0,2.0,2.0,1.0,2023.0,2023.0,True
2402.10379,9.0,285.0,285.0,33.0,2018.0,1991.0,True
2402.10466,21.0,45.0,45.0,24.0,2017.0,2000.0,True
2402.10491,21.0,4.0,21.0,5.0,2019.0,2023.0,True
2402.10524,63.0,45.0,63.0,25.0,2010.0,1999.0,True
2402.10555,28.0,0.0,28.0,8.0,2016.0,2024.0,True
2402.10644,0.0,9.0,9.0,5.0,2024.0,2019.0,True
2402.10790,16.0,71.0,71.0,39.0,2018.0,1985.0,True
2402.10893,5.0,3.0,5.0,11.0,2013.0,2023.0,True
2402.10896,14.0,0.0,14.0,5.0,2019.0,2025.0,True
2402.10963,9.0,0.0,9.0,5.0,2019.0,,True
2402.10986,6.0,38.0,38.0,7.0,2022.0,2017.0,True
2402.11131,2.0,34.0,34.0,11.0,2021.0,2013.0,True
2402.11248,6.0,9.0,9.0,5.0,2022.0,2019.0,True
2402.11295,3.0,6.0,6.0,1.0,2023.0,2024.0,True
2402.11450,25.0,2.0,25.0,7.0,2017.0,2023.0,True
2402.11550,9.0,36.0,36.0,9.0,2023.0,2015.0,True
2402.11690,14.0,14.0,14.0,3.0,2021.0,2022.0,True
2402.11929,5.0,2.0,5.0,2.0,2022.0,2023.0,True
2402.12219,4.0,4.0,4.0,1.0,2023.0,2023.0,True
2402.12225,1.0,8.0,8.0,17.0,2007.0,2021.0,True
2402.12226,2.0,249.0,249.0,20.0,2023.0,2004.0,True
2402.12376,3.0,3.0,3.0,3.0,2024.0,2021.0,True
2402.12377,12.0,0.0,12.0,13.0,2011.0,2024.0,True
2402.12479,7.0,4.0,7.0,4.0,2020.0,2021.0,True
2402.12659,7.0,14.0,14.0,8.0,2023.0,2016.0,True
2402.12712,1.0,2.0,2.0,1.0,2024.0,2023.0,True
2402.12847,30.0,2.0,30.0,8.0,2016.0,2020.0,True
2402.12908,0.0,3.0,3.0,2.0,2024.0,2022.0,True
2402.13064,2.0,10.0,10.0,7.0,2021.0,2017.0,True
2402.13144,0.0,3.0,3.0,3.0,2024.0,2021.0,True
2402.13217,39.0,5.0,39.0,10.0,2014.0,2023.0,True
2402.13220,3.0,4.0,4.0,5.0,2019.0,2023.0,True
2402.13232,11.0,1.0,11.0,3.0,2021.0,2024.0,True
2402.13249,12.0,2.0,12.0,17.0,2020.0,2007.0,True
2402.13250,4.0,45.0,45.0,10.0,2020.0,2014.0,True
2402.13251,7.0,238.0,238.0,29.0,2019.0,1995.0,True
2402.13252,1.0,0.0,1.0,0.0,2024.0,2024.0,True
2402.13349,2.0,0.0,2.0,11.0,2013.0,2025.0,True
2402.13573,7.0,6.0,7.0,17.0,2007.0,2016.0,True
2402.13577,1.0,4.0,4.0,1.0,2023.0,2023.0,True
2402.13598,0.0,0.0,0.0,0.0,2024.0,2024.0,True
2402.13616,2.0,8.0,8.0,6.0,2019.0,2018.0,True
2402.13720,17.0,28.0,28.0,3.0,2021.0,2021.0,True
2402.13753,0.0,3.0,3.0,1.0,2025.0,2023.0,True
2402.13763,2.0,7.0,7.0,2.0,2023.0,2022.0,True
2402.13929,9.0,4.0,9.0,5.0,2019.0,2021.0,True
2402.14017,13.0,114.0,114.0,20.0,2018.0,2004.0,True
2402.14020,2.0,4.0,4.0,5.0,2022.0,2019.0,True
2402.14034,14.0,11.0,14.0,15.0,2022.0,2009.0,True
2402.14083,19.0,2.0,19.0,10.0,2014.0,2023.0,True
2402.14086,16.0,2.0,16.0,8.0,2016.0,2023.0,True
2402.14167,18.0,33.0,33.0,12.0,2020.0,2012.0,True
2402.14180,31.0,5.0,31.0,12.0,2012.0,2021.0,True
2402.14194,7.0,120.0,120.0,12.0,2019.0,2012.0,True
2402.14253,0.0,26.0,26.0,6.0,2025.0,2018.0,True
